X,Y,trajectory_id,step_id,PL,RMS,PL_RMS_ratio,RMS_PL_ratio,PL_plus_RMS,PL_minus_RMS,abs_PL_minus_RMS
-1818,-779,0,0,66.5,7.36,9.04,0.11,73.86,59.14,59.14
-2219,-895,0,1,65.8,8.14,8.08,0.12,73.94,57.66,57.66
-1686,-903,0,2,67.1,7.85,8.55,0.12,74.95,59.25,59.25
-2038,-927,0,3,69.2,7.74,8.94,0.11,76.94,61.46,61.46
-1805,-1164,0,4,65.8,8.91,7.38,0.14,74.71,56.89,56.89
-1288,-920,0,5,66.1,8.73,7.57,0.13,74.83,57.37,57.37
-727,-964,0,6,65.6,8.84,7.42,0.13,74.44,56.76,56.76
-196,-1244,0,7,67.0,8.15,8.22,0.12,75.15,58.85,58.85
-711,-1464,0,8,68.6,7.45,9.21,0.11,76.05,61.15,61.15
-994,-1334,0,9,68.5,7.34,9.33,0.11,75.84,61.16,61.16
-745,-1331,1,0,66.9,7.31,9.15,0.11,74.21,59.59,59.59
-1123,-1495,1,1,67.5,6.77,9.97,0.1,74.27,60.73,60.73
-1553,-1467,1,2,67.3,8.12,8.29,0.12,75.42,59.18,59.18
-1602,-1079,1,3,66.5,9.02,7.37,0.14,75.52,57.48,57.48
-1216,-1103,1,4,68.1,8.44,8.07,0.12,76.54,59.66,59.66
-1065,-763,1,5,68.5,7.21,9.5,0.11,75.71,61.29,61.29
-690,-1207,1,6,65.7,9.08,7.24,0.14,74.78,56.62,56.62
-144,-1093,1,7,66.4,8.04,8.26,0.12,74.44,58.36,58.36
-350,-729,1,8,66.9,6.82,9.81,0.1,73.72,60.08,60.08
-354,-1173,1,9,67.4,7.05,9.56,0.1,74.45,60.35,60.35
-1871,-1036,2,0,64.8,7.88,8.22,0.12,72.68,56.92,56.92
-1363,-962,2,1,67.5,7.13,9.47,0.11,74.63,60.37,60.37
-966,-1253,2,2,68.4,7.66,8.93,0.11,76.06,60.74,60.74
-1302,-1151,2,3,66.1,9.5,6.96,0.14,75.6,56.6,56.6
-1005,-1037,2,4,67.7,7.87,8.6,0.12,75.57,59.83,59.83
-674,-776,2,5,68.7,9.71,7.08,0.14,78.41,58.99,58.99
-235,-780,2,6,67.2,7.14,9.41,0.11,74.34,60.06,60.06
6,-1049,2,7,67.4,7.04,9.57,0.1,74.44,60.36,60.36
-414,-1421,2,8,65.5,9.04,7.25,0.14,74.54,56.46,56.46
58,-1340,2,9,65.5,9.51,6.89,0.15,75.01,55.99,55.99
-1516,-1220,3,0,66.9,6.85,9.77,0.1,73.75,60.05,60.05
-1891,-1403,3,1,67.1,10.04,6.68,0.15,77.14,57.06,57.06
-1327,-1370,3,2,66.5,8.35,7.96,0.13,74.85,58.15,58.15
-1145,-832,3,3,65.6,8.37,7.84,0.13,73.97,57.23,57.23
-733,-778,3,4,67.2,7.45,9.02,0.11,74.65,59.75,59.75
-597,-1278,3,5,68.3,9.51,7.18,0.14,77.81,58.79,58.79
-388,-743,3,6,65.4,8.54,7.66,0.13,73.94,56.86,56.86
158,-913,3,7,67.9,7.41,9.16,0.11,75.31,60.49,60.49
199,-1234,3,8,68.1,7.2,9.46,0.11,75.3,60.9,60.9
325,-1517,3,9,70.0,7.11,9.85,0.1,77.11,62.89,62.89
-781,-1314,4,0,67.1,8.69,7.72,0.13,75.79,58.41,58.41
-969,-788,4,1,67.1,7.35,9.13,0.11,74.45,59.75,59.75
-1128,-1086,4,2,67.6,8.5,7.95,0.13,76.1,59.1,59.1
-981,-585,4,3,67.1,9.37,7.16,0.14,76.47,57.73,57.73
-671,-634,4,4,66.2,8.89,7.45,0.13,75.09,57.31,57.31
-191,-512,4,5,66.2,7.57,8.75,0.11,73.77,58.63,58.63
-507,-496,4,6,67.2,7.49,8.97,0.11,74.69,59.71,59.71
-872,-942,4,7,68.9,8.95,7.7,0.13,77.85,59.95,59.95
